0000..001f    ; Cc
0020          ; Zs
0021..0023    ; Po
0024          ; Sc
0025..0027    ; Po
0028          ; Ps
0029          ; Pe
002a          ; Po
002b          ; Sm
002c          ; Po
002d          ; Pd
002e..002f    ; Po
0030..0039    ; Nd
003a..003b    ; Po
003c..003e    ; Sm
003f..0040    ; Po
0041..005a    ; Lu
005b          ; Ps
005c          ; Po
005d          ; Pe
005e          ; Sk
005f          ; Pc
0060          ; Sk
0061..007a    ; Ll
007b          ; Ps
007c          ; Sm
007d          ; Pe
007e          ; Sm
007f..009f    ; Cc
00a0          ; Zs
00a1          ; Po
00a2..00a5    ; Sc
00a6..00a7    ; So
00a8          ; Sk
00a9          ; So
00aa          ; Ll
00ab          ; Pi
00ac          ; Sm
00ad          ; Cf
00ae          ; So
00af          ; Sk
00b0          ; So
00b1          ; Sm
00b2..00b3    ; No
00b4          ; Sk
00b5          ; Ll
00b6          ; So
00b7          ; Po
00b8          ; Sk
00b9          ; No
00ba          ; Ll
00bb          ; Pf
00bc..00be    ; No
00bf          ; Po
00c0..00d6    ; Lu
00d7          ; Sm
00d8..00de    ; Lu
00df..00f6    ; Ll
00f7          ; Sm
00f8..00ff    ; Ll
0100          ; Lu
0101          ; Ll
0102          ; Lu
0103          ; Ll
0104          ; Lu
0105          ; Ll
0106          ; Lu
0107          ; Ll
0108          ; Lu
0109          ; Ll
010a          ; Lu
010b          ; Ll
010c          ; Lu
010d          ; Ll
010e          ; Lu
010f          ; Ll
0110          ; Lu
0111          ; Ll
0112          ; Lu
0113          ; Ll
0114          ; Lu
0115          ; Ll
0116          ; Lu
0117          ; Ll
0118          ; Lu
0119          ; Ll
011a          ; Lu
011b          ; Ll
011c          ; Lu
011d          ; Ll
011e          ; Lu
011f          ; Ll
0120          ; Lu
0121          ; Ll
0122          ; Lu
0123          ; Ll
0124          ; Lu
0125          ; Ll
0126          ; Lu
0127          ; Ll
0128          ; Lu
0129          ; Ll
012a          ; Lu
012b          ; Ll
012c          ; Lu
012d          ; Ll
012e          ; Lu
012f          ; Ll
0130          ; Lu
0131          ; Ll
0132          ; Lu
0133          ; Ll
0134          ; Lu
0135          ; Ll
0136          ; Lu
0137..0138    ; Ll
0139          ; Lu
013a          ; Ll
013b          ; Lu
013c          ; Ll
013d          ; Lu
013e          ; Ll
013f          ; Lu
0140          ; Ll
0141          ; Lu
0142          ; Ll
0143          ; Lu
0144          ; Ll
0145          ; Lu
0146          ; Ll
0147          ; Lu
0148..0149    ; Ll
014a          ; Lu
014b          ; Ll
014c          ; Lu
014d          ; Ll
014e          ; Lu
014f          ; Ll
0150          ; Lu
0151          ; Ll
0152          ; Lu
0153          ; Ll
0154          ; Lu
0155          ; Ll
0156          ; Lu
0157          ; Ll
0158          ; Lu
0159          ; Ll
015a          ; Lu
015b          ; Ll
015c          ; Lu
015d          ; Ll
015e          ; Lu
015f          ; Ll
0160          ; Lu
0161          ; Ll
0162          ; Lu
0163          ; Ll
0164          ; Lu
0165          ; Ll
0166          ; Lu
0167          ; Ll
0168          ; Lu
0169          ; Ll
016a          ; Lu
016b          ; Ll
016c          ; Lu
016d          ; Ll
016e          ; Lu
016f          ; Ll
0170          ; Lu
0171          ; Ll
0172          ; Lu
0173          ; Ll
0174          ; Lu
0175          ; Ll
0176          ; Lu
0177          ; Ll
0178..0179    ; Lu
017a          ; Ll
017b          ; Lu
017c          ; Ll
017d          ; Lu
017e..0180    ; Ll
0181..0182    ; Lu
0183          ; Ll
0184          ; Lu
0185          ; Ll
0186..0187    ; Lu
