0041 0300;	0041 	
0041 0301;	0041 	
0041 0302;	0041 	
0041 0303;	0041 	
0041 0308;	0041 	
0041 030A;	0041 	
0043 0327;	0043 	
0045 0300;	0045 	
0045 0301;	0045 	
0045 0302;	0045 	
0045 0308;	0045 	
0049 0300;	0049 	
0049 0301;	0049 	
0049 0302;	0049 	
0049 0308;	0049 	
004E 0303;	004E 	
004F 0300;	004F 	
004F 0301;	004F 	
004F 0302;	004F 	
004F 0303;	004F 	
004F 0308;	004F 	
0055 0300;	0055 	
0055 0301;	0055 	
0055 0302;	0055 	
0055 0308;	0055 	
0059 0301;	0059 	
0061 0300;	0061 	
0061 0301;	0061 	
0061 0302;	0061 	
0061 0303;	0061 	
0061 0308;	0061 	
0061 030A;	0061 	
0063 0327;	0063 	
0065 0300;	0065 	
0065 0301;	0065 	
0065 0302;	0065 	
0065 0308;	0065 	
0069 0300;	0069 	
0069 0301;	0069 	
0069 0302;	0069 	
0069 0308;	0069 	
006E 0303;	006E 	
006F 0300;	006F 	
006F 0301;	006F 	
006F 0302;	006F 	
006F 0303;	006F 	
006F 0308;	006F 	
0075 0300;	0075 	
0075 0301;	0075 	
0075 0302;	0075 	
0075 0308;	0075 	
0079 0301;	0079 	
0079 0308;	0079 	
0041 0304;	0041 	
0061 0304;	0061 	
0041 0306;	0041 	
0061 0306;	0061 	
0041 0328;	0041 	
0061 0328;	0061 	
0043 0301;	0043 	
0063 0301;	0063 	
0043 0302;	0043 	
0063 0302;	0063 	
0043 0307;	0043 	
0063 0307;	0063 	
0043 030C;	0043 	
0063 030C;	0063 	
0044 030C;	0044 	
0064 030C;	0064 	
0045 0304;	0045 	
0065 0304;	0065 	
0045 0306;	0045 	
0065 0306;	0065 	
0045 0307;	0045 	
0065 0307;	0065 	
0045 0328;	0045 	
0065 0328;	0065 	
0045 030C;	0045 	
0065 030C;	0065 	
0047 0302;	0047 	
0067 0302;	0067 	
0047 0306;	0047 	
0067 0306;	0067 	
0047 0307;	0047 	
0067 0307;	0067 	
0047 0327;	0047 	
0067 0327;	0067 	
0048 0302;	0048 	
0068 0302;	0068 	
0049 0303;	0049 	
0069 0303;	0069 	
0049 0304;	0049 	
0069 0304;	0069 	
0049 0306;	0049 	
0069 0306;	0069 	
0049 0328;	0049 	
0069 0328;	0069 	
0049 0307;	0049 	
004A 0302;	004A 	
006A 0302;	006A 	
004B 0327;	004B 	
006B 0327;	006B 	
004C 0301;	004C 	
